id,new,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
m2wat,,M2WAT,Utilitaire pour transférer les réglages de MTCP.CFG vers WATTCP.CFG.,,"mTCP, WATTCP, DHCP",,"DOS (Borland C 3.1, DJGPP 2.03)","GNU General Public License, Version 2 or later",3fda148cbee75641f6be47b00f8f6538a4598a3de4cbf002d813e3e768a903d6
magnetic,,Magnetic,Un interpréteur pour les aventures Magnetic Scrolls.,,,,"DOS, Amiga, MacOS X, Java, Maemo5, OpenPandora, Windows, GNU/Linux","GNU General Public License, Version 2",e4b38cf19ee4333b398f38d179ab5d504090dec0665e2c58015e1fd124c523ec
marauder,,Marauder,Jeu de tir dans l'espace,,,,DOS,Free w/sources,5f605852225b84209202eefa1e70de6fcf2626caf294a9859de0ea649f9f6e96
mbedit,,mbedit - Multi platform editor,"mbedit est un éditeur de texte en plein écran avec option macro, calculateur en ligne, tampon de l'historique des commandes, éditeur hexadécimal et de nombreuses autres fonctionnalités.",,"éditeur,hexadécimal",,DOS,"GNU General Public License, Version 2",cc164787592854a327fb961b004936f3136c815fb509dc800a3eb9b33060cbc5
mbldr,,Master Boot LoaDeR,Chargeur d'amorçage MBR qui tient sur un seul secteur,,MBR,,dos,Modified (2-Clause) BSD License,ec1f3ddf2bfc802a1f75bcc4f9f1a8f1e1c9578b4b38d502046b97326a7370f2
md5sum,,MD5SUM,Programme de sommes de contrôle MD5,,"md5, md5sum, somme de contrôle, checksummer, cryptographique, sha, crc",,"DOS, OpenWatcom 1.3, Pacific C 7.51, Turbo C 2.01, Turbo C++ 1.01","GNU General Public License, Version 2",feace16efbd88f851ee500a68608793d334188907796c9f27e24dfe0e326fa84
meka,,MEKA,MEKA est un émulateur multi-machines.,,"meka, émulation, émulateur",,DOS,"BSD-like license, see website",c024100e2b7eac07cdcb5d50e5f914dda21f59c388a3c5e9719cc60986e353e2
mem,,MEM,Affiche la quantité de mémoire utilisée et libre sur votre système,,"Memoire, mem, xms, ems, umb, hma",,FreeDOS,"GNU General Public License, Version 2",da3dfd89f951c8c1421697285f9423a118d4077945ac479a0e3ed6e44cf46022
memteste,,MEMTESTE,MEMTESTE est un programme pour tester la DRAM (mémoire principale) des ordinateurs compatibles PC basés sur les processeurs Intel 386 ou plus puissants.,,"Test de la RAM, memtest",,DOS,Freeware,d218a96f42b6ae0cd7be2988806cffec7dfe1ae67485668dc95d3e63465d5190
mined,,MinEd,"Éditeur de texte avec prise en charge étendue de l'Unicode et du CJK. Fonctions pratiques et efficaces pour l'édition de documents en texte brut, de programmes, du HTML etc. Interface conviviale, contrôle via la souris et menus.",Mined est un éditeur de texte puissant. Mined fournit à la fois un support étendu Unicode et CJK offrant de nombreuses fonctionnalités spécifiques et couvrant des cas particuliers que d'autres éditeurs ne connaissent pas (comme les fonctions de détection automatique et la gestion automatique des variantes de terminal ou des informations de caractère Han). C'était le premier éditeur qui supportait Unicode dans un terminal en texte brut (comme xterm ou rxvt).,"éditer, éditeur, unicode, page de code, encodage",,"DOS, Win32 (Cygwin), *nix","GNU General Public License, Version 3",2d541c379d19842273c841addb2e958ae1b42364dad377f05ceb3cc42400071b
mines,,MiNES,MiNES est un éditeur pour les ROM iNES.,,"iNES, éditeur",,DOS,"GNU General Public License, Version 3",a7c58e470c75b737640dabde7fe4b20f23173110af9deed2da8c2ad837cb1d07
minibox,,Minibox,Petites commandes GNU/Linux pour les systèmes avec des ressources limitées,,"linux, unix, beep, cat, cd, clear, cp, date, echo, help, ls mkdir, mv, pwd, rmdir, sh, time",,DOS,"GNU General Public License, Version 2 and 3",d38c6b7ca39e90b0b24ef1402d8f10b55260aa88cecace63024dd43628c06fa8
mirmagic,,Mirror Magic,Un jeu d'arcade comme 'Deflektor' (C 64) ou 'Mindbender' (Amiga),,,,"DOS, GNU/Linux, Windows","GNU General Public License, Version 2",e19673a42f87e1b9c1aa69784535f08db9f3142e9457fb0e5f372d71c48f36cf
mirror,,Mirror,Enregistre des informations au sujet du disque pour une éventuelle récupération de données.,,freedos,,dos,"GNU General Public License, Version 2",9fd2131758a119ddd374687babc96d5434f0a1d999599d41922c56a57334078f
mistral,,The Mistral Report: Invisible Affairs,Un jeu RPG rétro basé sur le thème de l'espionnage pour votre ordinateur classique.,"Rapport MISTRAL: Les affaires invisibles est un RPG rétro tour par tour sur le thème de l'espionnage pour votre ordinateur classique. Nécessite 386SX ou mieux. Les options sonores incluent Adlib, PCSPeaker et OPL2LPT.","jeux, rpg",,DOS,"GNU General Public License, Version 3",413e6bbd6d97e8f80623983f0d8777788985acfe7d15f35b9c64acf513282111
mkeyb,,MKEYB,"Pilote de clavier très léger, 500 à 700 octets en résident",,freedos clavier,,DOS,"GNU General Public License, with exceptions",2aca837451d6ef10e56a0c0fe4c2b523b5f0ae2c63ce47bf2739799d309df364
mode,,mode,Définir le mode de vos appareils,,"freedos, mode, affichage",,DOS,"GNU General Public License, Version 2",02dec6ac346d20323b8dabb78ac745ec938846a3f33be5eef90907cd2e127bff
more,,more,Affiche le contenu d'un fichier texte une page à la fois,,"freedos, more",,DOS *requires KITTEN,"GNU General Public License, Version 2",ba87a83d12fd5efbfcf5b20b0c7403ed83ed8d81f5bf828990a0a0f2e043ea3f
move,,Move,Déplace les fichiers d'ici à là,,"freedos, déplacer",,DOS,"GNU General Public License, Version 2",927ccfddaf53e69935cf0c06b8bb6d8d77d401457aa817d34fb662409daa1e48
mplayer,,MPlayer,MPlayer est un lecteur de films porté depuis GNU/Linux.,,"multimédia,vidéo,lecteur",,DOS,"GNU General Public License, Version 2",b40178114f03f20d533312881b30f7d431e8a6c8d56291313100a5f77540f029
mpxplay,,Mpxplay,"Joue l'audio avec ses propres pilotes de carte son modernes : AAC, AC3, APE, FLAC, MP2/MP3, MPC, OGG (VORBIS), WMA, WAV, WV, CDW. (version DOS/32a)",,"mp3, ogg, vorbis, wav, musique, haut-parleur, son, blaster",,"DOS 5+ (OpenWatcom 1.9), Win32 (console)",Source code available (open),0959222f39ec42f76b4e9707cf456ea1675a67be6be09d598e725164af7cab65
msa,,MSA,x86 assembler for DOS,"MSA est un assembleur x86 qui prend en charge toutes les instructions 8086 et la plupart des instructions 80186/80286. MSA génère des fichiers de sortie binaire plate (.COM). Robert Ostling a sorti son assembleur MSA en tant que logiciel open source, sous licence MIT. Robert a écrit MSA en C, en utilisant Borland C ++ 2.0, mais pense qu'il ne sera pas difficile de porter sur d'autres compilateurs.","assembler, asm, msa",,DOS,MIT license,8c3315e21563282ea26003ad59725613184ae72b3e19746559467d47e15c5bb3
msedit,,MSEDIT,L'éditeur chic de Mateusz,,éditeur de texte,,DOS,"GNU General Public License, Version 2",06902e0b485642af1afd6a31a556ca2c4628ef4d999c6bb06cc2e2828b91f12a
