id,new,title,description,summary,keywords,platforms,copying-policy,sha
e1000pkt,,E1000PKT,"Paketdrivrutin fîr Intel(R) PRO/1000-kort, t.ex. 82544-, 82540-, 82545-, 82541- och 82547-baserade Ethernet kontrollerkort.",,"82544, 82540, 82545, 82541, 82547, GIGPKTDRVR, Gigabit paketdrivrutin",DOS,"GNU General Public License, Version 2.",9be94ba9f9dbf70bfc77fee529859076ccb86d7978bb2f440a98e474010a9372
e100pkt,,E100PKT,Paketdrivrutin fîr DOS,,"nÑtverk, ethernet, paket, drivrutin, e100, intel",DOS (NASM),"GNU General Public License, Version 3",3e1c23a817afc1f502fdc14fedb1c440b9a6682841e88ce05642f0a909c01b0b
e3,,e3,En liten textredigerarer som finns i bÜde 32- och 16-bitars versioner,,redigerare,DOS,"GNU General Public License, Version 2",b5f281f93fc9d488eb09b2371150d47c1ecc1fa4a13d939d2dfb3b07d32a9f4d
edict,,EDICT,Enhanced Disk Image Creation Tool - ett verktyg fîr att utan problem skapa diskavbildningar fîr disketter,,dos 16-bitars,DOS,Simplified (2-Clause) BSD License,18610bb77c9f034456011389bccfef715ac5974596c4f98b0d4e4e3d2d3a8e38
edit,,FreeDOS Edit,FreeDOS fîrbÑttrad klon av MS-DOS Edit,,"redigera, redigerare",DOS (Borland C),"GNU General Public License, Version 2",f46a111e065b2d0039fba8611faf1ae8c74706e704a68cd421feaaf1a8401e57
edlin,,EDLIN,Programmet edlin Ñr FreeDOS standard rad-redigerare. (UPX-komprimerad),,"redigera, redigerare, radredigerare","DOS (Microsoft Visual C++ i C-lÑge, Borland C++), FreeDOS, OpenWatcom, Linux (gcc)","GNU General Public License, Version 2",cfd4365d9fdcda2787e965026cb66466af422d6dbe3b936ed51b735455d3cf5c
eliza,,Eliza,En av de tidigaste datorbaserade AI-tjattrobotarna,,,DOS,Public Domain,1618d2eaf92e817ae6696c3db2b2c8dea267440fceb6a236e9d70dd70e5c594b
elvis,,elvis,"En klon av vi/ex, UNIX standardredigerare. Har stîd fîr nÑstan alla vi-/ex-kommandon",,"vi, redigerare",,Clarified Artistic License,f38f17d3a1ce3f04c929d7af7e4c36465300563e4d18e540bcfba39746cc038b
emm386,,EMM386,"TillhandahÜller EMS, XMS, VDS, UMB:er, HMA och VCPI fîr DOS-applikationer",,EMM386 UMB EMS HIMEM XMS VDS USB POOL DELNING STABIL QEMU VPC A20 OMSTART UPX --8086,DOS,Artistic License,4c44701dc2fe06805cfd6a080d40da8e4376bca44bfa0dfc3946f5476d7e8e62
empong,,Emeritus Pong,Emeritus Pong Ñr en klong av det gamla hÑrliga spelet Pong.,,"Pong, Spel",DOS,"GNU General Public License, Version 3",0b7df9d86bddd9e718b955d420d4e37a44ab4a8ccfe1ac2ecf517bb1f1f57497
etherdfs,,ETHERDFS,Ethernet DOS-filsystem (mappare en fjÑrrenhet îver rÜ Ethernet),"EtherDFS Ñr en 'installerbart filsystem'-TSR fîr DOS. Det mappar en enhet frÜn en fjÑrrdator (typiskt Linux-baserad) till en lokal enhetsbokstav, som anvÑnder rÜda ethernetpaket fîr att kommunicera. Under mÜnga Ür anvÑnde jag LapLink fîr att îverfîra filer mellan alla mina retrodatorer. Ja, det fungerar men det Ñr ocksÜ irriterande lÜngsamt och krÑver konstant uppmÑrksamhet. On dag tÑnkte jag: 'Vore det inte fantastiskt om alla mina DOS PC kunde dela en gemensam nÑtverksenhet, liknande hur NFS fungerar i *nix-vÑrlden?'. Den dagen fîddes EtherDFS. Jag har helt klart inte uppfunnit nÜgot - konceptet har funnit nÑstan lika lÑnge som den fîrsta IBM PC:n, och flera kommersiella produkter har adresserat detta behovet tidigare. Men jag kÑnner inte till nÜgon fri lîsning med îppen kÑllkod. Dessutom krÑver alla kommersiella lîsningar jag kÑnner till att du fîrst sÑtter upp en ganska komplicerad nÑtverksmiljî, medan EtherDFS inte krÑver nÜgot mer Ñn en paketdrivrutin.",etherdfs,DOS,MIT license,11f9ff54f49b9819ac86f615475cdc5320659e1b4c7a4605ce04384f9de941ac
